,Title,Year,Genre,Link,Image_name,DIRECTOR,CINEMATOGRAPHER,PRODUCTION DESIGNER,COSTUME DESIGNER,EDITOR,COLORIST,SHOT TIME,TIME PERIOD,COLOR,ASPECT RATIO,FORMAT,FRAME SIZE,SHOT TYPE,LENS SIZE,COMPOSITION,LIGHTING,LIGHTING TYPE,TIME OF DAY,INTERIOR/EXTERIOR,LOCATION TYPE,SET,STORY LOCATION,CAMERA,LENS,FILM STOCK / RESOLUTION,FILMING LOCATION,VFX,ACTORS
589,IN THE HEART OF THE SEA,2015,"Thriller, Drama, Adventure, Action, History",https://shotdeck.com/assets/images/stills/thumb/small_X23H4VJE.jpg,small_X23H4VJE, Ron Howard, Anthony Dod Mantle, Mark Tildesley, Julian Day," Mike Hill, Daniel P. Hanley",,0.0, 1800s," Cool, Saturated, Cyan, Blue", 1.78 - Spherical, Digital, Extreme Wide,, Wide, Left heavy,, Daylight, Day, Exterior,, Ocean, ... Earth > Atlantic Ocean, ARRI ALEXA XT / XTplus, Zeiss Ultra Prime,, ... Earth > Europe,,
590,LEGENDS OF THE FALL,1994,"Drama, Western, War, Romance",https://shotdeck.com/assets/images/stills/thumb/small_B8MD7HEH.jpg,small_B8MD7HEH, Edward Zwick, John Toll, Lilly Kilvert, Deborah Lynn Scott, Steven Rosenblum,,0.0, 1900s, Desaturated, 1.85 - Spherical,, Medium Wide, Establishing shot, Medium,,," Daylight, Sunny", Day, Exterior, Location, mountain wilderness > Lakeside, ... Canada > British Columbia, Panavision Gold / G2,,, ... Canada > British Columbia,,
591,THE FATE OF THE FURIOUS,2017,"Action, Crime, Thriller",https://shotdeck.com/assets/images/stills/thumb/small_KKHIP4EQ.jpg,small_KKHIP4EQ, F. Gary Gray, Stephen F. Windon, Bill Brzeski," Sanja Milkovic Hays, Marlene Stewart"," Christian Wagner, Paul Rubell",,1.0, 2010s," Mixed, Saturated, Red, Blue", 2.39, Digital, Close Up,, Wide,, Hard light, Daylight, Day, Exterior, Location, Glacier, ... Europe > Iceland, ARRI ALEXA XT / XTplus," Zeiss Ultra Prime, Zeiss Ultra Prime, Zeiss Ultra Prime", 3.2K / 3.2K ArriRaw, ... Europe > Iceland,,
592,WINGED MIGRATION,2001,Documentary,https://shotdeck.com/assets/images/stills/thumb/small_7FLBF62S.jpg,small_7FLBF62S, Jacques Perrin," Luc Drion, Bernard Lutic, Dominique Gentil, Thierry Machado, Laurent Fleutot, Olli Barbé, Laurent Charbonnier, Thierry Thomas, Stéphane Martin, Ernst Sasse, Sylvie Carcedo, Michel Benjamin, Fabrice Moindrot, Philippe Garguil, Michel Terrasse", Régis Nicolino,, Marie-Josèphe Yoyotte,,0.0, 2000s," Warm, Desaturated", 1.85 - Super 35,, Medium Close Up, 2 shot, Long Lens, Right heavy, Hard light," Daylight, Sunny", Day, Exterior, Location,, ... Earth," Aaton 35-III, Eclair XTR",," 5246/7246 Vision 250D, 5245/7289 EXR 50D", ... Earth,,
593,CALL ME BY YOUR NAME,2017,"Drama, Romance",https://shotdeck.com/assets/images/stills/thumb/small_T1HVGPYM.jpg,small_T1HVGPYM, Luca Guadagnino, Sayombhu Mukdeeprom, Samuel Deshors, Giulia Piersanti, Walter Fasano," Chaitawat Thrisansri, Alessandro Pelliccia",2.0, 1980s," Cool, Desaturated, Cyan", 1.85 - Spherical, Film - 35mm, Wide, Establishing shot, Wide, Balanced, Hi-contrast, Daylight, Day, Exterior, Location,, ... Italy > Lombardy, Arricam LT, Cooke S4/ i, 5219/7219 Vision 3 500T, ... Europe > Italy,,
594,THE FAREWELL,2019,"Comedy, Drama",https://shotdeck.com/assets/images/stills/thumb/small_9ND75ZH9.jpg,small_9ND75ZH9, Lulu Wang, Anna Franquesa Solano, Lee Yong-ok, Athena Wang," Matt Friedman, Michael Taylor", Alex Bickel,1.0, 2010s," Desaturated, White", 2.39 - Spherical, Digital, Wide,, Medium, Balanced," Backlight, Soft light", Daylight, Day, Exterior, Location, Studio Apartment, ... New York > New York City, ARRI ALEXA Mini, Zeiss Master Primes,, ... New York > New York City,,
595,THE CROWN,2016,Drama,https://shotdeck.com/assets/images/stills/thumb/small_OM7743IY.jpg,small_OM7743IY, Philip Martin, Ole Bratt Birkeland, Martin Childs, Michele Clapton, Mark Eckersley,,0.0, 1950s," Green, Blue", 2.00 - Spherical, Digital, Wide, Low angle, Wide, Center, Hard light," Daylight, Sunny", Day, Exterior, Location, Car (Parked), ... Oceania > Australia, Sony F55, Cooke Panchro Classic,, ... United Kingdom > England,,
596,LOVE & MERCY,2014,"Drama, Music",https://shotdeck.com/assets/images/stills/thumb/small_ZF8XQE8L.jpg,small_ZF8XQE8L, Bill Pohlad, Robert D. Yeoman, Keith P. Cunningham, Danny Glicker, Dino Jons, Tom Poole,1.0, 1980s," Warm, Green"," 1.78 - Spherical, Super 35, 3 perf",, Wide, Establishing shot, Wide, Balanced, Soft light, Daylight, Day, Exterior, Location, Courtyard > Pool, ... California > Los Angeles," Panavision Millennium / Millenium XL / XL2, Panavision Platinum, Panavision Panaflex, Arriflex 16SR3"," Panavision Primo Primes, Zeiss Ultra 16mm"," 5219/7219 Vision 3 500T, 5213/7213 Vision 3 200T", ... California > Los Angeles,,
597,BEASTS OF THE SOUTHERN WILD,2012,Drama,https://shotdeck.com/assets/images/stills/thumb/small_JD7KX4FR.jpg,small_JD7KX4FR, Benh Zeitlin, Ben Richardson, Alex DiGerlando, Stephani Lewis, Affonso Gon,,1.0, 2010s," Warm, Cyan", 1.90 - Spherical, Film - 16mm, Wide, Insert," Long Lens, Medium", Left heavy, Soft light, Daylight, Day, Exterior,, Lake > Open Water, ... United States > Louisiana, Arriflex 16SR3, Panavision Super Speed Zeiss," 5219/7219 Vision 3 500T, 5217/7217 Vision 2 200T", ... United States > Louisiana,,
598,LEVIATHAN,2014,Drama,https://shotdeck.com/assets/images/stills/thumb/small_I6F6PCLY.jpg,small_I6F6PCLY, Andrey Zvyagintsev, Mikhail Krichman, Andrey Ponkratov, Anna Bartuli, Anna Mass,,1.0, 2010s,, 2.39 - Spherical, Film - 35mm, Extreme Wide,, Medium, Left heavy, Hard light," Daylight, Sunny"," Day, Sunset", Exterior, Location, Dirt Road, ... Russia > Barents Sea, Arriflex, Zeiss Master Primes," 5219/7219 Vision 3 500T, 5207/7207 Vision 3 250D", ... Russia > Murmank Oblast,,
599,PULP FICTION,1994,"Crime, Thriller",https://shotdeck.com/assets/images/stills/thumb/small_052IIM4W.jpg,small_052IIM4W, Quentin Tarantino, Andrzej Sekula, David Wasco, Betsy Heimann, Sally Menke, Mike Stanwick,2.0, 1990s," Warm, Desaturated, White", 2.35 - Anamorphic, Film - 35mm, Wide," Establishing shot, Insert, Low angle", Wide, Right heavy, Soft light," Daylight, Overcast", Day, Exterior, Location, Auto Scrapyard, ... California > Los Angeles," Panavision Gold / G2, Panavision Lightweight, Panavision Panaflex, Arriflex 35 IIIc"," Panavision C series, Panavision E series", Eastman EXR 50D 5245, ... Sun Valley > 12143 Branford Street,,
600,THE BOYS,2019,,https://shotdeck.com/assets/images/stills/thumb/small_XV4SXWFR.jpg,small_XV4SXWFR, Dan Trachtenberg, Jeff Cutter, David Blass," Carrie Grace, Laura Jean Shannon", David Trachtenberg, Siggy Ferstl,, 2010s," Cool, Cyan, Blue, White", 2.35, Digital, Medium Wide, Low angle, Wide, Balanced," Low-contrast, Soft light", Daylight, Day, Exterior, Location, City > Street, ... New York > New York City,,,, ... Ontario > Toronto,,
601,FROM RUSSIA WITH LOVE,1963,"Action, Adventure, Thriller",https://shotdeck.com/assets/images/stills/thumb/small_3L19J4IU.jpg,small_3L19J4IU, Terence Young, Ted Moore, Syd Cain, Jocelyn Rickards, Peter R. Hunt,,, 1960s, Desaturated, 1.66 - Spherical, Film - 35mm, Extreme Wide," Establishing shot, Low angle", Wide,, Hard light," Daylight, Sunny", Day, Exterior, Location, Train Exterior (Moving), ... Earth > Europe,,,,,,
602,THE LOST BOYS,1987,"Comedy, Horror",https://shotdeck.com/assets/images/stills/thumb/small_X7YSK3UO.jpg,small_X7YSK3UO, Joel Schumacher, Michael Chapman, Bo Welch, Susan Becker, Robert Brown,,1.0, 1980s," Warm, Desaturated", 2.39, Film - 35mm, Wide,, Medium,, Hard light, Daylight, Day, Exterior, Location, Cave, ... California > Santa Carla,,,, ... California > Rancho Palos Verdes,,
603,BLACK SEA,2014,Adventure,https://shotdeck.com/assets/images/stills/thumb/small_XML44N7C.jpg,small_XML44N7C, Kevin Macdonald, Christopher Ross, Nick Palmer, Natalie Ward, Justine Wright, Adam Inglis,, 2010s," Cool, Cyan, White", 2.39 - Spherical, Digital, Wide,, Wide,, Soft light," Daylight, Overcast", Day, Exterior, Location, Ocean, ... Russia > Black Sea, ARRI ALEXA XT / XTplus, Panavision Lenses, 2.8K / 2.8K ArriRaw, ... Europe > Ukraine,,
604,THE FATE OF THE FURIOUS,2017,"Action, Crime, Thriller",https://shotdeck.com/assets/images/stills/thumb/small_MTCOL385.jpg,small_MTCOL385, F. Gary Gray, Stephen F. Windon, Bill Brzeski," Sanja Milkovic Hays, Marlene Stewart"," Christian Wagner, Paul Rubell",,1.0, 2010s," Cool, Desaturated, Blue", 2.39, Digital, Wide,, Long Lens,, Soft light," Daylight, Overcast", Day, Exterior, Location, Glacier, ... Europe > Iceland, ARRI ALEXA XT / XTplus," Zeiss Ultra Prime, Zeiss Ultra Prime, Zeiss Ultra Prime", 3.2K / 3.2K ArriRaw, ... Europe > Iceland,,
605,SNOWPIERCER,2013,"Action, Drama, Science Fiction",https://shotdeck.com/assets/images/stills/thumb/small_L0AYERTE.jpg,small_L0AYERTE, Bong Joon-ho, Hong Kyung-pyo, Ondrej Nekvasil, Catherine George," Steve M. Choe, Kim Chang-ju"," Kevin Kang, Yvan Lucas",2.0, Future," Cool, White"," 1.78 - Super 35, 3 perf", Film - 35mm," Medium Wide, Wide", Establishing shot," Long Lens, Telephoto", Center," Hard light, Top-light", Daylight, Day, Exterior, Stage, Snow, ... Earth > snow," Arri 435 / 435ES, Arricam LT, Arricam ST"," Zeiss Master Primes, Angenieux Optimo Zooms"," 5219/7219 Vision 3 500T, 5207/7207 Vision 3 250D", ... Prague > Barrandov Studios, Composite,
606,WINGED MIGRATION,2001,Documentary,https://shotdeck.com/assets/images/stills/thumb/small_W43GDFDS.jpg,small_W43GDFDS, Jacques Perrin," Luc Drion, Bernard Lutic, Dominique Gentil, Thierry Machado, Laurent Fleutot, Olli Barbé, Laurent Charbonnier, Thierry Thomas, Stéphane Martin, Ernst Sasse, Sylvie Carcedo, Michel Benjamin, Fabrice Moindrot, Philippe Garguil, Michel Terrasse", Régis Nicolino,, Marie-Josèphe Yoyotte,,0.0, 2000s," Warm, Yellow, Green", 1.85 - Super 35,, Medium Wide," Aerial, High angle", Medium, Balanced, Hard light," Daylight, Sunny", Day, Exterior, Location,, ... Earth," Aaton 35-III, Eclair XTR",," 5246/7246 Vision 250D, 5245/7289 EXR 50D", ... Earth,,
607,HUSTLE & FLOW,2005,Drama,https://shotdeck.com/assets/images/stills/thumb/small_SK0CJJW1.jpg,small_SK0CJJW1, Craig Brewer, Amy Vincent, Keith Brian Burns, Paul A. Simmons Jr., Billy Fox, Walter Volpatto,1.0, 2000s," Cool, Blue", 1.78 - Spherical, Film - 16mm, Extreme Close Up," High angle, Insert", Medium, Center," Soft light, Top-light", Daylight, Day, Exterior, Location, Car, ... Tennessee > Memphis," Arriflex 16SR3, Aaton Aminima"," Zeiss Ultra Prime, Century S2000 Lenses"," 5212/7212 Vision 2 100T, 5218/7218 Vision 2 500T", ... United States > Tennessee,,
608,REQUIEM FOR A DREAM,2000,"Drama, Crime",https://shotdeck.com/assets/images/stills/thumb/small_X5XYYDAX.jpg,small_X5XYYDAX, Darren Aronofsky, Matthew Libatique, James Chinlund," Carolyn Grifel, Laura Jean Shannon", Jay Rabinowitz,,0.0, 1990s, Blue, 1.85 - Spherical, Film - 35mm, Wide, Aerial, Telephoto, Right heavy,," Daylight, Sunny", Day, Exterior, Location, Beach, ... New York > Brooklyn," Panavision Gold / G2, Panavision Panastar, Arri 3 (III), Eyemo", Panavision Ultra Speed MKII," 5248/7248 EXR 100T, 8572/8672 F-500T", ... New York > Brooklyn,,
609,SALT AND FIRE,2016,"Drama, Thriller",https://shotdeck.com/assets/images/stills/thumb/small_ZII241RM.jpg,small_ZII241RM, Werner Herzog, Peter Zeitlinger, Ulrich Bergfelder, Esther Walz, Joe Bini,,0.0, 2010s," Warm, Desaturated", 2.39 - Spherical, Digital," Extreme Wide, Wide", Dutch angle, Wide,, Hard light," Daylight, Sunny", Day, Exterior, Location,, ... South America > Bolivia, RED Epic Dragon, Cooke Panchro Classic,, ... South America > Bolivia,,
610,PRINCESS MONONOKE,1997,"Adventure, Fantasy, Animation",https://shotdeck.com/assets/images/stills/thumb/small_DPWJF3KY.jpg,small_DPWJF3KY, Hayao Miyazaki, Atsushi Okui,,," Hayao Miyazaki, Takeshi Seyama",,0.0, Renaissance," Cool, Saturated, Green, Cyan", 1.85, Animation, Wide,,, Center, Hard light," Daylight, Sunny", Day, Exterior,, Grassland, ... Japan > Okinawa,,,,,,
611,MONOS,2019,"Drama, War",https://shotdeck.com/assets/images/stills/thumb/small_5TMKD84C.jpg,small_5TMKD84C, Alejandro Landes, Jasper Wolf, Daniela Schneider," Daniela Schneider, Johanna Buendia"," Santiago Otheguy, Yorgos Mavropsaridis, Ted Guard", Laurens Orij,1.0, 2010s," Warm, Saturated, Green", 2.39, Digital, Extreme Wide, Aerial, Medium, Center, Soft light," Daylight, Sunny", Day, Exterior, Location, Jungle, ... South America > Jungle, ARRI ALEXA Mini," Angenieux Optimo, Hawk Vantage One", 3.2K / 3.2K ArriRaw, ... Antioquia > Samana Norte River,,
612,ROAD TO PERDITION,2002,"Crime, Drama, Thriller",https://shotdeck.com/assets/images/stills/thumb/small_HH23Q8FN.jpg,small_HH23Q8FN, Sam Mendes, Conrad L. Hall, Dennis Gassner, Albert Wolsky, Jill Bilcock, Phil Hetos,, 1930s,, 2.35 - Spherical, Film - 35mm, Extreme Wide,, Wide," Balanced, Symmetrical", Hard light, Daylight, Day, Exterior, Location, Road, ... Illinois > Chicago," Panavision Panaflex, Panavision Panastar", Panavision Primo Classic,, ... Illinois > Chicago,,
613,TOP GUN: MAVERICK,2022,"Action, Drama",https://shotdeck.com/assets/images/stills/thumb/small_2Y7V7V9O.jpg,small_2Y7V7V9O, Joseph Kosinski, Claudio Miranda, Jeremy Hindle, Marlene Stewart," Chris Lebenzon, Eddie Hamilton"," Stefan Sonnenfeld, Adam Nazarenko",1.0, 2020s," Cool, Desaturated, Cyan, Blue", 1.90 - Spherical, Digital, Wide, High angle, Wide," Center, Symmetrical", Soft light, Daylight, Day, Exterior, Location, Landing Strip, ... United States of America > Washington, Sony VENICE," Fujinon Premier Lenses, Sigma Cine Lenses, Zeiss Master Primes", 4K, ... United States of America > California,,
614,DUE DATE,2010,"Drama, Comedy",https://shotdeck.com/assets/images/stills/thumb/small_C849D1PR.jpg,small_C849D1PR, Todd Phillips, Lawrence Sher, Bill Brzeski, Louise Mingenbach, Debra Neil-Fisher, Jan Yarbrough,0.0, 2010s," Warm, Saturated, Green"," 2.39 - Super 35, 3 perf", Film - 35mm, Wide, Establishing shot, Wide, Center," Backlight, Hard light"," Daylight, Sunny", Day, Exterior,, Mansion, ... Texas > Dallas," Panavision Millennium / Millenium XL / XL2, Panavision Lightweight"," Panavision Primo Primes, Panavision Primo Zoom 11-1 - 24-275mm, Panavision Primo Zoom 4-1 - 17.5-75mm"," 5219/7219 Vision 3 500T, 5207/7207 Vision 3 250D, 5213/7213 Vision 3 200T", ... Georgia > Atlanta,,
615,EATING RAOUL,1982,"Comedy, Horror",https://shotdeck.com/assets/images/stills/thumb/small_RHT5V9NI.jpg,small_RHT5V9NI, Paul Bartel, Gary Thieltges, Robert Schulenberg, Katherine Dover, Alan Toomayan,,0.0, 1980s,, 1.78 - Spherical, Film - 35mm, Wide,, Medium, Center, Soft light, Daylight, Day, Exterior,, Car (Stationary), ... California > Los Angeles,,,, ... California > Los Angeles,,
616,ANY GIVEN SUNDAY,1999,Drama,https://shotdeck.com/assets/images/stills/thumb/small_RBCZDTD0.jpg,small_RBCZDTD0, Oliver Stone, Salvatore Totino, Victor Kempster, Mary Zophres," Stuart Levy, Thomas J. Nordberg, Keith Salmon, Stuart Waks", David Orr,0.0, 1990s," Warm, Saturated"," 2.39 - Spherical, Super 35", Film - 35mm, Extreme Wide, High angle, Wide,, Hard light," Daylight, Sunny", Day, Exterior, Location, Football Stadium > Field, ... Florida > Miami," Arri 435 / 435ES, Arriflex 35 IIIc, Panavision Lightweight, Panavision Panaflex", Panavision Primo Zooms," 5248/7248 EXR 100T, 5274/7274 Vision 200T, 5277/7277 Vision 320T, 8532/8632 F-125T", ... United States > Florida,,
617,THE MASTER,2012,Drama,https://shotdeck.com/assets/images/stills/thumb/small_5BRBSCIB.jpg,small_5BRBSCIB, Paul Thomas Anderson, Mihai Malaimare Jr.," David Crank, Jack Fisk", Mark Bridges," Leslie Jones, Peter McNulty",,1.0, 1940s,, 1.85 - Spherical, Film - 65mm, Wide," Establishing shot, Low angle", Wide, Balanced," Edge light, Hard light", Daylight, Day, Exterior, Location, House > Balcony,," Panavision Millennium / Millenium XL / XL2, Panavision System 65, Panavision 65 HR"," Hassalblad Prime 65 lenses, Zeiss Jena Lenses, Kowa Super 66 Fisheye lens"," 5207/7207 Vision 3 250D, 5213/7213 Vision 3 200T, 5203/7203 Vision 3 50D", ... United States > California,,
618,THE FATE OF THE FURIOUS,2017,"Action, Crime, Thriller",https://shotdeck.com/assets/images/stills/thumb/small_DSTYUIC9.jpg,small_DSTYUIC9, F. Gary Gray, Stephen F. Windon, Bill Brzeski," Sanja Milkovic Hays, Marlene Stewart"," Christian Wagner, Paul Rubell",,1.0, 2010s," Cool, Blue", 2.39, Digital, Extreme Wide, Aerial, Wide,, Hard light, Daylight, Day, Exterior, Location, Glacier, ... Europe > Iceland, ARRI ALEXA XT / XTplus," Zeiss Ultra Prime, Zeiss Ultra Prime, Zeiss Ultra Prime", 3.2K / 3.2K ArriRaw, ... Europe > Iceland,,
619,WINGED MIGRATION,2001,Documentary,https://shotdeck.com/assets/images/stills/thumb/small_HQHZJ1P1.jpg,small_HQHZJ1P1, Jacques Perrin," Luc Drion, Bernard Lutic, Dominique Gentil, Thierry Machado, Laurent Fleutot, Olli Barbé, Laurent Charbonnier, Thierry Thomas, Stéphane Martin, Ernst Sasse, Sylvie Carcedo, Michel Benjamin, Fabrice Moindrot, Philippe Garguil, Michel Terrasse", Régis Nicolino,, Marie-Josèphe Yoyotte,,0.0, 2000s, Cyan, 1.85 - Super 35,, Close Up, Over the shoulder, Long Lens, Center, Hard light," Daylight, Sunny", Day, Exterior, Location,, ... Earth," Aaton 35-III, Eclair XTR",," 5246/7246 Vision 250D, 5245/7289 EXR 50D", ... Earth,,
620,CASINO,1995,"Drama, Crime",https://shotdeck.com/assets/images/stills/thumb/small_LKNT6RUU.jpg,small_LKNT6RUU, Martin Scorsese, Robert Richardson, Dante Ferretti," Rita Ryack, John Dunn", Thelma Schoonmaker,,0.0, 1970s,, 2.35 - Super 35, Film - 35mm, Wide, Establishing shot, Wide," Balanced, Center", Soft light," Daylight, Overcast", Day, Exterior, Location, Hotel > Parking Lot, ... Nevada > Las Vegas," Panavision Panaflex, Panavision Panastar", Panavision Primo Primes," 5248/7248 EXR 100T, 5293/7293 EXR 200T", ... Las Vegas > Glass Pool Inn - 4613 South Las Vegas Boulevard,,
621,SOUND OF METAL,2020,"Drama, Music",https://shotdeck.com/assets/images/stills/thumb/small_W554RMJZ.jpg,small_W554RMJZ, Darius Marder, Daniël Bouquet, Jeremy Woodward, Megan Stark Evans, Mikkel E.G. Nielsen, Olivier Ogneux,0.0, 2010s," Cool, Green, Cyan"," 2.39 - Spherical, 2 perf", Film - 35mm, Extreme Wide, Insert, Medium, Right heavy,," Daylight, Sunny", Day, Exterior, Location, Field, ... North America > United States of America, Aaton Penelope, Sigma Cine Lenses," 5219/7219 Vision 3 500T, 5203/7203 Vision 3 50D, 4K", ... United States > Massachusetts,,
622,KISS KISS BANG BANG,2005,"Action, Crime, Mystery, Comedy",https://shotdeck.com/assets/images/stills/thumb/small_SCD8UHGL.jpg,small_SCD8UHGL, Shane Black, Michael Barrett, Aaron Osborne, Christopher J. Kristoff, Jim Page, Tony D'Amore,0.0, 2000s," Warm, Saturated, Yellow", 2.39 - Super 35, Film - 35mm,," Aerial, Establishing shot, Insert", Wide," Balanced, Symmetrical",, Daylight, Day, Exterior, Location, City, ... California > Los Angeles," Panavision Millennium / Millenium XL / XL2, Panavision Platinum, Panavision Panaflex"," Panavision Lenses, Panavision Primo Primes",, ... California > Los Angeles,,
623,AMBULANCE,2022,"Action, Crime, Thriller",https://shotdeck.com/assets/images/stills/thumb/small_N6T4W2CW.jpg,small_N6T4W2CW, Michael Bay, Roberto De Angelis, Karen Frick, Lisa Lovaas," Pietro Scalia, Calvin Wimmer, Doug Brandt", Stefan Sonnenfeld,, 2020s," Cyan, Blue", 2.39 - Anamorphic, Digital - Cross Process, Wide, Establishing shot, Wide, Left heavy, Hard light," Daylight, Sunny", Day, Exterior, Location, City > Street, ... California > Los Angeles," RED Komodo, RED Weapon Helium"," Hawk Vantage One, Panavision T series"," Redcode RAW 6K, Redcode RAW 8k", ... California > Los Angeles,,
624,INSURGENT,2015,"Adventure, Science Fiction, Thriller",https://shotdeck.com/assets/images/stills/thumb/small_60OE41N1.jpg,small_60OE41N1, Robert Schwentke, Florian Ballhaus, Alec Hammond, Louise Mingenbach," Stuart Levy, Nancy Richardson",,1.0, Future," Cool, Desaturated, Blue", 2.39, Digital, Extreme Wide, Establishing shot, Long Lens,,," Daylight, Overcast", Day, Exterior,, Destroyed City,,,, 5K / Redcode raw 5K,, Composite,
625,MAN ON FIRE,2004,"Action, Drama, Thriller",https://shotdeck.com/assets/images/stills/thumb/small_UBKPD7VU.jpg,small_UBKPD7VU, Tony Scott, Paul Cameron," Benjamín Fernández, Chris Seagers", Louise Frogley, Christian Wagner, Ryan Pannell,1.0, 2000s, Mixed," 2.39 - Spherical, Super 35", Film - 35mm, Wide, Establishing shot, Wide, Balanced, Low-contrast, Daylight, Day, Exterior, Location, Favela, ... Mexico > Mexico City," Panavision Millennium / Millenium XL / XL2, Panavision Panaflex, Arri 2c (IIc), Aaton Aminima, Aaton XTR Prod 16mm"," Panavision Ultra Speed MKII, Panavision Primo Primes, Panavision Primo Zooms"," 5229/7229 Vision 2 500T Expression, 5274/7274 Vision 200T, 5239 Color Reversal 160D, 5285 Color Reversal 100D", ... Mexico > Mexico City,,
626,WINGED MIGRATION,2001,Documentary,https://shotdeck.com/assets/images/stills/thumb/small_T84DSJ25.jpg,small_T84DSJ25, Jacques Perrin," Luc Drion, Bernard Lutic, Dominique Gentil, Thierry Machado, Laurent Fleutot, Olli Barbé, Laurent Charbonnier, Thierry Thomas, Stéphane Martin, Ernst Sasse, Sylvie Carcedo, Michel Benjamin, Fabrice Moindrot, Philippe Garguil, Michel Terrasse", Régis Nicolino,, Marie-Josèphe Yoyotte,,0.0, 2000s," Warm, Desaturated", 1.85 - Super 35,, Extreme Close Up,, Telephoto, Center, Hard light," Daylight, Sunny", Day, Exterior, Location,, ... Earth," Aaton 35-III, Eclair XTR",," 5246/7246 Vision 250D, 5245/7289 EXR 50D", ... Earth,,
627,CITIZEN KANE,1941,Drama,https://shotdeck.com/assets/images/stills/thumb/small_2DKK8MR9.jpg,small_2DKK8MR9, Orson Welles, Gregg Toland, Van Nest Polglase, Edward Stevenson, Robert Wise,,0.0, 1900s," Desaturated, Black and White", 1.37 - Spherical, Film - 35mm, Extreme Wide, Establishing shot," Medium, Wide", Center,, Daylight, Day, Exterior,, Newspaper Office, ... New York > New York City, Mitchell BNC, Cooke Panchro Classic,, ... California > Los Angeles,,
628,LOVE & BASKETBALL,2000,"Action, Comedy, Drama, Romance",https://shotdeck.com/assets/images/stills/thumb/small_PIJPDET4.jpg,small_PIJPDET4, Gina Prince-Bythewood, Reynaldo Villalobos, Jeffrey Howard, Ruth E. Carter, Terilyn A. Shropshire, Mike Sowa,0.0, 1980s,, 1.78 - Spherical, Film - 35mm, Medium Close Up, Insert, Long Lens, Center, Hard light, Daylight, Day, Exterior,, House > Driveway > Basketball Hoop, ... California > Los Angeles,,,, ... California > Los Angeles,,
629,ROMA,2018,Drama,https://shotdeck.com/assets/images/stills/thumb/small_4IHS6E3O.jpg,small_4IHS6E3O, Alfonso Cuarón, Alfonso Cuarón, Eugenio Caballero, Anna Terrazas, Alfonso Cuarón, Steven J. Scott,1.0, 1970s," Desaturated, Black and White", 2.39 - Anamorphic, Digital," Extreme Wide, Wide",, Wide,,," Daylight, Sunny", Day, Exterior, Location, Desert, ... North America > Mexico, ARRI ALEXA 65, Arri Prime 65s series,, ... North America > Mexico,,
630,POLICE STORY,1985,"Action, Crime, Thriller",https://shotdeck.com/assets/images/stills/thumb/small_BSCH5PUW.jpg,small_BSCH5PUW, Jackie Chan, Yiu-Tsou Cheung, Oliver Wong, Ginger Fung, Peter Cheung,,0.0, 1980s,, 2.35 - Anamorphic, Film - 35mm, Wide, Establishing shot, Medium,," Hard light, Top-light"," Daylight, Sunny", Day, Exterior, Location, Mountain > Slums, ... China > Hong Kong,,,, ... China > Hong Kong,,
631,LEVIATHAN,2014,Drama,https://shotdeck.com/assets/images/stills/thumb/small_PE5X0J17.jpg,small_PE5X0J17, Andrey Zvyagintsev, Mikhail Krichman, Andrey Ponkratov, Anna Bartuli, Anna Mass,,1.0, 2010s,, 2.39 - Spherical, Film - 35mm, Extreme Wide," Establishing shot, High angle",, Right heavy,," Daylight, Sunny"," Day, Sunrise", Exterior, Location, Dirt Road, ... Russia > Barents Sea, Arriflex, Zeiss Master Primes," 5219/7219 Vision 3 500T, 5207/7207 Vision 3 250D", ... Russia > Murmank Oblast,,
632,CAMERAPERSON,2016,Documentary,https://shotdeck.com/assets/images/stills/thumb/small_CLH31BZY.jpg,small_CLH31BZY, Kirsten Johnson, Kirsten Johnson,,, Nels Bangerter,,, 2000s,, 1.78, Digital, Medium Wide, Insert, Medium, Balanced, Hard light, Daylight, Day, Exterior, Location, Ruins,,,,, ... Bosnia > Foca,,
633,OZARK,2017,"Crime, Drama",https://shotdeck.com/assets/images/stills/thumb/small_RQJ8K8ZU.jpg,small_RQJ8K8ZU, Andrew Bernstein, Michael Grady, Derek R. Hill, Stephani Lewis, Cindy Mollo, Tim Stipan,, 2010s,, 2.00 - Anamorphic, Digital, Wide, Establishing shot, Wide, Balanced," Low-contrast, Soft light", Daylight," Day, Dusk", Exterior, Location, Trailer Park, ... Missouri > Lake of the Ozarks, Panasonic VariCam 35," Cooke S4/ i, Zeiss Super Speed", 4K, ... Georgia > Lake Lanier,,
634,TOP GUN: MAVERICK,2022,"Action, Drama",https://shotdeck.com/assets/images/stills/thumb/small_22H5YIQY.jpg,small_22H5YIQY, Joseph Kosinski, Claudio Miranda, Jeremy Hindle, Marlene Stewart," Chris Lebenzon, Eddie Hamilton"," Stefan Sonnenfeld, Adam Nazarenko",1.0, 2020s," Cool, Desaturated, Cyan, Blue", 1.90 - Spherical, Digital, Extreme Close Up," Insert, Low angle", Long Lens, Right heavy," Backlight, Top-light", Daylight, Day, Exterior, Location, Landing Strip, ... United States of America > Washington, Sony VENICE," Fujinon Premier Lenses, Sigma Cine Lenses, Zeiss Master Primes", 4K, ... United States of America > California,,
